*Short Form	EN	HU	NL	ES	RO	PL	CS	BS	PT-BR	PT-PT	ET	FR-CA	FR-FR	KR	ZH-CN	ZH-TW	SR	RU	TR	FI	BG	UA	DE	CAT	IT	JP	LT	AR	KZ	NO	FIL	HIN	TH	ID	GE	LV	VN	GR	BRL	SK	SW	FA
Temp CPU:	Temp CPU:	CPU Hőmérséklet:	Temperatuur CPU:	Temperatura de la CPU:	Temperatura CPU:	Temp CPU:	Teplota CPU:	Temperatura CPU-a:	Temperatura da CPU:	Temperatura da CPU:	CPU Temperatuur:	Temp. CPU:	Temp. CPU:	CPU 온도:	CPU温度：	CPU溫度：	Temperatura CPU-a:	Температура процессора	CPU Sıcaklığı:	Lämpötila CPU	Температура на CPU:	Температура CPU:	CPU Temperatur	Temp CPU	Temperatura CPU:	CPU温度	CPU Temperatūra	وحدة المعالجة المركزية المؤقتة	Температуралық процессор:	CPU-temperatur	Temp CPU:	अस्थायी सीपीय:ू	อุณหภูมิซีพียู:	Suhu CPU:	CPU ტემპ:	CPU Temperatūra:	Nhiệt Độ CPU:	Θερμοκρασία Επεξεργαστή	Часовы працэсар:	Teplota CPU:	CPU temeratur	دمای پردازنده:
Starting Computer	Starting Computer	A Számítógép Indítása	Computer Opstarten	Iniciando el ordenador	Se porneste Computer-ul	Uruchamianie komputera	Spuštění počítače	Paljenje Računara	Ligando Computador	A iniciar o computador	Arvuti käivitamine	Démarrage de l’ordinateur	Démarrage de l'ordinateur	컴퓨터를 시작하는 중	开启电脑中	開啟電腦中	Pokretanje kompjutera	Включение компьютера	Bilgisayar Başlatılıyor	Käynnistetään Tietokonetta	Стартиране на Компютър	Запуск Комп'ютера	Starte Computer	Iniciant ordinador	Avviando il computer	コンピューターを起動しています	Įjungiamas kompiuteris	بدء تشغيل الكمبيوتر	Компьютерді іске қосу	Starter datamaskin...	Pagsisimula ng Computer	कंप्यटू र शरूु करना	เริ่มต้นคอมพิวเตอร์	Mulai Komputer	კომპიუტერის ჩართვა	Startē Datoru	Đang Khởi Động Máy Tính	Ο Υπολογιστής Εκκινείται	Запуск кампутара	Zapínam počítač	Startar datorn	رایانه در حال روشن شدن است
Color	Color	Szín	Kleur	Color	Culoare	Kolor	Barva	Boja	Cor	Cor	Värv	Couleur	Couleur	색	颜色	顏色	Boja	Цвет	Renk	Väri	Цвят	Колір	Farbe	Color	Colore	色	Spalva	لون	Түс	Farge	Kulay	रंग	สี	Warna	ფერი	Krāsa	Màu	Χρώμα	Колер	Farba	Färg	رنگ
Time	Time	Idő	Tijd	Tiempo	Timp	Czas	Čas	Vrijeme	Tempo	Tempo	Aeg	Temps	Temps	시각	时间	時間	Vreme	Время	Süre	Aika	Време	Час	Zeit	Temps	Tempo	時間	Laikas	وقت	Уақыт	Tid	Oras	समय	เวลา	Waktu	დრო	Laiks	Thời Gian	Χρόνος	Час	Čas 	Tid	زمان
Type	Type	Típus	Soort	Tipo	Tip	Typ	Typ	Vrsta	Tipo	Tipo	Tüüp	Type	Type	종류	种类	種類	Tip	Тип	Tür	Tyyppi	Вид	Вид	Typ	Tipus	Tipo	タイプ	Tipas	يكتب	Түр	Type	Uri	प्रकार	ชนิด	Tipe	ჩაწერე	Tips	Kiểu	Τύπος	Тып	Píš	Typ	نوع
Graphics	Graphics	Grafika	Grafisch	Gráficos	Grafica	Grafika	Grafika	Grafika	Gráficos	Gráficos	Graafika	Graphismes	Graphismes	그래픽	显卡	顯卡	Grafika	Графика	Grafikler	Grafiikat	Графика	Графіка	Grafik	Gràfics	Grafica	グラフィックス	Grafika	الرسومات	Графика	Graffikker	Mga graphics	ग्राफि क्स	การ์ดจอ	Grafik	გრაფიკა	Grafikas	Đồ Họa	Γραφικά	Графіка	Grafika	Grafik	گرافیک
System Info	System Info	Rendszer információ	Systeem Informatie	Información del sistema	Detalii Sistem	Informacje o systemie	Informace systému	Infromacije o Sistemu	Informações do Sistema	Informações do Sistema	Süsteemi info	Info système	Information système	시스템 성능	系统信息	系統信息	Informacije o sistemu	Системная информация	Sistem Bilgileri	Laitteen Info	Информация за Системата	Інформація про Систему	System Info	Info. del sistema	Info del sistema	システム情報	Systėmos Informacija	معلومات النظام	Жүйе ақпараты	Systeminformasjon	Info ng sistema	व्यवस्था की सचू ना	ข้อมูลระบบ	Info Sistem	სისტემის ინფორმაცია	Sistēmas info	Thông Tin Máy	Ρυθμίσεις Συστήματος	Сістэмная інфармацыя	Informácie o systéme	System info	اطلاعات دستگاه
Processor	Processor	Processzor	Processor	Procesadores	Procesor	Procesor	Procesor	Procesor	Processador	Processador	Protsessor	Processeur	Processeur	프로세서	处理器	處理器	Procesor	Процессор	İşlemci	Prosessori	Процесор	Процесор	Prozessor	Processador	Processore	CPU	Procesorius	المعالج	Процессор	Prosessor	Processor	प्रोसेसर	ซีพียู	Processor	პროცესორი	Procesors	CPU	Επεξεργαστής	Працэсар	Procesor	Processor	پردازنده
Graphics Card	Graphics Card	Videókártya	Grafische Kaart	Tarjetas Gràficas	Placa Video	Karta graficzna	Grafická karta	Grafička Kartica	Placa de Vídeo	Placa de Vídeo	Graafikakaart	Carte Graphique	Carte graphique	그래픽카드	显卡	顯卡	Grafička kartica	Видеокарта	Ekran Kartı	Näytönohjain	Видео Карта	Відео Карта	Grafikkarten	Targeta gràfica	Scheda Video	グラフィックスカード	Vaizdo Plokštė	بطاقة مصورات	Графикалық карта	Grafikkort	Graphics card	चि त्रोपमा पत्रक	การ์ดจอ	Graphics Card	ვიდეობარათი	Video karte	Card Màn Hình	Κάρτα Γραφικών	Графічная карта	Grafická karta	Grafikkort	کارت گرافیک
Memory	Memory	Memória	Geheugen	Memorias RAM	RAM	Pamięć	Paměť	Memorija	RAM	RAM	Vahemälu	Mémoire	Mémoire	RAM	内存	記憶體	Memorija	Оперативная память	Hafıza	Sisämuisti	Памет	Операт. пам'ять	Arbeitsspeicher	Memòria	Memoria	RAM	Atmintis	ذاكرة	Жад	Minne	Memory	स्मतिृति	แรม	Memory	ოპერაციული მეხსიერება	Atmiņa	RAM	Μνήμη	Памяць	Pamäť	Minne	رم
Storage	Storage	Tárhely	Opslag	Almacenamiento	Stocare	Dyski twarde	Úložný prostor	Hard Disk	Armazenamento	Armazenamento	Mälu	Stockage	Stockage	저장장치	硬盘	硬盤	Trajna Memorija	Память	Depolama Alanı	Tallennustila	Памет	Пам'ять	Speicher	Emmagatzematge	Spazio di Archiviazione	ストレージ	Saugykla	تخزين	Сақтау	Lagring	Storage	भडं ारण	ฮาร์ดดิสก์	Storage	მეხსიერება	Krātuve	Ổ Cứng	Χώρος	Захоўванне	Úložisko	Föråd	حافظه
Power Supply	Power Supply	Tápegység	Batterij Opslag	Fuentes de alimentación	Sursa de Alimentare	Zasilacz	Zdroj napájení	Napajanje Struje	Fonte	Fonte	Toiteplokk	Bloc d'alimentation	Bloc d'alimentation	파워	电源供应器	電源供應器	Napajanje	Блок питания	Güç Kaynağı	Akku	Захранване	Джер. живлення	Netzteil	Font d'alimentació	Alimentatore	電源	Maitinimo šaltinis	مزود الطاقة	Нәр беруші	Strømforsyning	Power supply	बि जली की आपर्तिूर्ति	พาวเวอร์ซัพพลาย	Power Supply	ენერგიის წყარო	Elektrības Padeve	Nguồn	Τροφοδοτικό Λείπει	Электразабеспячэнне	Zdroj	Nättagret	منبع تغذیه
Motherboard	Motherboard	Alaplap	Moederboord	Placas base	Placa de baza	Płyta główna	Základní deska	Matična Ploča	Placa Mãe	Placa Mãe	Emaplaat	Carte mère	Carte mère	메인보드	主板	主板	Matična ploča	Материнская плата	Anakart	Emolevy	Дънна Платка	Матер. плата	Motherboard	Placa mare	Scheda Madre	マザーボード	Motininė plokštė	اللوحة الأم	Аналық плата немесе Корпус таңдаңыз	Hovedkort	Motherboard	मदरबोर्ड	เมนบอร์ด	Motherboard	დედაპლატა	Mātesplate	Bo Mạch Chủ	Μητρική Πλακέτα	Матчына плата	Základná doska	Moderkort	مادربورد
Monitor	Monitor	Monitor	Beeldscherm	Monitor	Monitor	Monitor	Monitor	Monitor	Monitor	Monitor	Ekraan	Écran	Écran	모니터	显示器	顯示器	Monitor	Монитор	Monitör	Näyttö	Монитор	Монітор	Monitor	Monitor	Monitor	モニター	Monitorius	شاشة	Монитор тұғыры	Skjerm	Monitor	नि गरानी करना	จอมอนิเตอร์	Monitor	მონიტორი	Monitors	Màn Hình	Οθόνη	Манітор	Monitor	Skärm	صفحه نمایش
Case	Case	Gépház	Kast	Cajas	Carcasa	Obudowa	Pouzdro	Kutija	Gabinete	Torre	Arvutikorpus	Case	Boîtier	케이스	机箱	機箱	Kućište	Корпус	Kasa	Kuori	Кутия	Бокс	Gehäuse	Caixa	Scocca	場合	Korpusas	قضية	Корпус	Kabinett	Kaso	मामला	เคส	Case	ქეისი	Korpuss	Case	Κουτί	Справа	Púzdro	Chassi	کیس
Cooler	Cooler	Hűtő	Cooler	Ventilador	Cooler Procesor	Chłodzenie	Chladič	Hladnjak	Cooler	Cooler	Jahutus	Refroidisseur	Refroidisseur	쿨러	散热器	散熱器	Hladnjak	Кулер	Soğutcu	Tuuletin	Охладител	Куллер	Lüfter	Ventilador	Ventola	クーラー	Aušintuvas	برودة	Салқындатқыш	Kjølevifte	Cooler	शीतक	คูลเลอร์	Cooler	ქულერი	Cooler	Tản Nhiệt	Ψυχτήρας	Кулер	Chladič	Kylare	خنک کننده
Cooler (RGB)	Cooler (RGB)	Hűtő (RGB)	Cooler (RGB)	Ventilador (RGB)	Cooler Procesor (RGB)	Chłodzenie (RGB)	Chladič (RGB)	Hladnjak (RGB)	Cooler (RGB)	Cooler (RGB)	Jahutus (RGB)	Refroidisseur (RVB)	Refroidisseur (RGB)	LED 쿨러	散热器（彩色）	散熱器（彩色）	Hladnjak (RGB)	Кулер (подсветка)	Soğutucu (Renkli)	Tuuletin (RBG)	Охладител (RGB)	Куллер (RGB)	Lüfter (RGB)	Ventilador (RGB)	Ventola (RGB)	クーラー（RGB）	Aušintuvas (RGB)	برودة (RGB)	Салқындатқыш (RGB)	Kjølevifte (RGB)	Cooler (RGB)	कूलर (आरजीबी)	คูลเลอร์ (RGB)	Cooler (RGB)	RGB ქულერი	Cooler (RGB)	Tản Nhiệt (RGB)	Ψυχτήρας (RGB)	Кулер (RGB)	Chladič (RGB)	Kylare (RGB)	خنک کننده رنگی
Tower Cooler	Tower Cooler	Torony Hűtő	Toren Cooler	Ventilador de caja	Cooler Turn	Chłodzenie wieżowe	Věžový chladič	Kula Hladnjak	Tower Cooler	Cooler de Torre	Tornijahuti	Refroidisseur en tour	Refroidisseur en tour	대용량 쿨러	塔式散热器	塔式散熱器	Toranj hladnjak	Вертикальный кулер	Büyük Soğutucu	Torni Tuuletin	Кула Охладител	Куллер стовбовий	Tower Lüfter	Torre de refrigeració	Ventola a Torre	タワークーラー	Bokšto aušintuvas	مبرد البرج	Мұнара салқындатқышы	Tower-kjølevifte	Tower cooler	टॉवर कूलर	ทาวเวอร์คูลเลอร์	Tower Cooler	Tower Cooler	Torņa Cooler	Tản Nhiệt Khí	Ψύχτρα Κουτιού	Вежавы кулер	Vežový chladič	Torn kylare	خنک کننده ایستاده
Tower Cooler (RGB)	Tower Cooler (RGB)	Torony Hűtő (RGB)	Toren Cooler (RGB)	Ventilador de caja (RGB)	Cooler Turn (RGB)	Chłodzenie wieżowe (RGB)	Věžový chladič (RGB)	Kula Hladnjak (RGB)	Tower Cooler (RGB)	Cooler de Torre (RGB)	Tornijahuti (RGB)	Refroidisseur de tour (RVB)	Refroidisseur en tour (RGB)	LED 대용량 쿨러	塔式散热器（彩色）	塔式散熱器（彩色）	Toranj hladnjak (RGB)	Вертикальный кулер (подсветка)	Büyük Soğutucu (Renkli)	Torni Tuuletin (RBG)	Кула Охладител (RGB)	Куллер стовбовий (RGB)	Tower Lüfter (RGB)	Torre de refrigeració (RGB)	Ventola a Torre (RGB)	タワークーラー（RGB）	Bokšto aušintuvas (RGB)	مبرد البرج (RGB)	Мұнара салқындатқышы (RGB)	Tower-kjølevifte	Tower cooler (RGB)	टॉवर कूलर (RGB)	ทาวเวอร์คูลเลอร์ (RGB)	Tower Cooler (RGB)	Tower Cooler (RGB)	Torņa Cooler (RGB)	Tản Nhiệt Khí (RGB)	Ψύχτρα Κουτιού (RGB)	Вежавы ахаладжальнік (RGB)	Vežový chladič (RGB)	Torn kylare (RGB)	خنک کننده ایستاده رنگی
Bitcoin Miner	Bitcoin Miner	BitCoin Miner	Bitcoin Mijner	Minero de bitcoins	Miner de Bitcoin	Koparka Bitcoinów	Bitcoin těžič	Bitcoin Kopač	Minerador Bitcoin	Minerador Bitcoin	BitCoin kaevandaja	Mineur Bitcoin	Mineur de Bitcoin	비트코인 채굴기	比特币矿机	比特幣礦機	Bitcoin Majner	Майнер биткоинов	Bitcoin Madencisi	Bitcoin kaivaja	БитКойнт миньор	Біткоїн майнер	Bitcoin Miner	Minador de Bitcoin	Minatore di Bitcoin	ビットコインマイナー	Kriptovaliutos kastuvas	عامل منجم البيتكوين	Bitcoin Miner	Bitcoinminer	Minero ng bitcoin	बि टकॉइन माइनर	ขุดบิตคอยน์	Menambang Bitcoin	ბიტკოინის მაინერი	Bitcoin Racējs	Khai Thác Bitcoin	Bitcoin Miner	Bitcoin Майнер	Ťažič na bitcoin	Bitcoins grävare	استخراج کننده بیتکوین
Miner	Miner	Miner	Mijner	Caja de minería	Miner	Koparka	Těžič	Kopač	Minerador	Minerador	Kaevandaja	Mineur	Mineur	코인 채굴기	矿机	礦機	Majner	Майнер	Madenci	Kaivaja	Миньор	Майнер	Miner	Minador	Telaio Per Mining	鉱夫	Kastuvas	عامل منجم	Шахтер	Miner	Minero	खान मेंकाम करनेवाला	แท่นขุดบิตคอยน์	Menambang	მარინერი	Racējs	Người Khai Thác	Miner	Шахцёр	Ťažič	Grävare	استخراج کننده
Cover	Cover	Borító	Cover	Tapa	Panou Frontal	Pokrywa	Kryt	Poklopac	Tampa	Tampa	Katta	Couvercle	Couvercle	커버	盖	蓋	Poklopac	Защита	Kapak	Peite	Капак	Кришка	Abdeckung	Portada	Copertura	カバー	Dangtis	التغطية	Қақпақ	Deksel	Takpan	ढकना	ฝาปิด	Penutup	პლასმასი	Vāks	Tấm Che	Κάλυμμα	Вокладка	Kryt	Skydd	پوشش
Glass	Glass	Űveg	Glas	Cristal	Sticla	Szkło	Sklo	Staklo	Vidro	Vidro	Klaas	Vitre	Verre	유리 커버	玻璃	玻璃	Staklo	Стекло	Cam Kapak	Lasi	Стъкло	Скло	Glass	Vidre	Vetro	ガラス	Stiklas	زجاج	Шын	Glass	Salamin	कांच	กระจก	Kaca	შუშა	Stikls	Tấm Kính	Γυαλί	Шкло	Sklo	Glas	شیشه
Decoration	Decoration	Dekoráció	Decoratie	Decoración	Decoratie	dekoracja	Dekorace	Dekoracija	Decoração	Decoração	Dekoratsioon	Décoration	Décoration	장식	装饰	裝飾	Dekoracija	Декорации	Dekorasyon	Koriste	Декорация	Декорація	Dekoration	Decoració	Decorazioni	装飾	Decoratcija	زخرفة	Декорация	Dekorasjon	Dekorasyon	सजावट	การตกแต่ง	Dekorasi	დეკორაცია	Decorācija	Trang Trí	Διακόσμηση	Ўпрыгожванне	Dekorácia	Dekoration	تزئین
Bomb	Bomb	Bomba	Bom	Bomba	Bomba	Bomba	Bomba	Bomba	Bomba	Bomba	Pomm	Bombe	Bombe	폭탄	炸弹	炸彈	Bomba	Бомба	Bomba	Pommi	Бомба	Бомба	Bombe	Bomba	Bomba	爆弾	Bomba	قنبلة	бомба	Bombe	Bomba	बम	ระเบิด	Bom	ბომბი	Bumba	Bom	Βόμβα	Бомба	Bomba	Bomb	بمب
Ducky	Ducky	kacsa	Eendje	Cariño	Ratusca	Kaczka	kachna	Patkica	Patinho	Patinho	Partike	“Ducky”	“Ducky”	더키	鸭鸭	鴨鴨	Patkica	Душка	Oyuncak Ördek	Ankanpoikanen	Пиленце	Качка	Ente	Ànec	Paperella	ダッキー	Ančiukas	الحبيب	Үйрек	And	Ducky	लालि त्य	เป็ด	Bebek	დაკი	Pīlīte	Ducky	Ducky	Дакі	Kačka	Ducky	اردک
Sold Out	Sold Out	Eladva	Uitverkocht	Vendido	Vandut	Wyprzedane	Vyprodáno	Rasprodano	Esgotado	Esgotado	Välja müüdud	Stock épuisé	Stock épuisé	품절	已卖出	已賣出	Prodato	Продано	Tükendi	Myyty	Продай	Продано	Ausverkauft	Venut	Venduto	完売	Išparduotas	نفذ	сатылған	Utsolgt	Ubos na	बि क गया	ขายหมดแล้ว	Terjual Habis	გაყიდულია	Izpārdots	Đã Bán Hết	Εξαντλημένο	Прададзена	Vypredané	Slut sålt	فروخته شده
Example	Example	Példa	Voorbeeld	Ejemplo	Exemplu	przykład	Ukázka		Exemplo	Exemplo	Näidis	Exemple	Exemple	예시	例子	例子	Primer	Пример	Örnek	Esimerkki	Пример	Приклад	Beispiel	Exemple	Esempio	例	Pavyzdys	مثال	мысал	Eksempel	Halimbawa	उदाहरण	ตัวอย่าง	Contoh	მაგალითი	Piemērs	Ví Dụ	Παράδειγμα	Прыклад	Príklad	Exempel	مثال
Select File	Select File	Fájl kiválasztása	Selecteer Bestand	Selecciona un archivo	Selectează Fişier	Wybierz plik	Vybrat Soubor		Selecionar Arquivo	Selecionar Ficheiro	Vali Fail	Sélect. Fichier	Choisir le fichier	파일 고르기	选择文件	選擇文件	Izaberite fajl	Выбрать файл	Dosya Seç	Valitse tiedosto	Избери файл	Вибери Файл	Wähle eine Datei	Selecciona Fitxer	Seleziona il File	ファイルを選択	Pasirinkti Failą	حدد الملف	файылды танданыз	Velg fil	Pumili ng file	फ़ाइल का चयन करें	เลือกเซฟ	Pilih file	აირჩიეთ ფაილი	Izvēlies Failu	Chọn File	Επιλογή Εγγράφου	Выберыце Файл	Vyber súbor	Välj fil	یک فایل انتخاب کنید
Name	Name	Név	Naam	Nombre	Nume	Nazwa	Název		Nome	Nome	Nimi	Nom	Nom	이름	名字	名字	Ime	Имя	İsim	Nimi	Име	Ім'я	Name	Nom	Nome	名前	Vardas	اسم	аты	Navn	Pangalan	नाम	ชื่อ	Nama	სახელი	Vārds	Tên	Όνομα	Імя	Meno	Namn	نام
Advanced Options	Advanced Options	Haladó beállítások	Geavanceerde optie	Opciones avanzadas	Optiune Avansată	Opcje zaawansowane	Pokročilé možnosti		Opção Avançada	Opções Avançadas	Keerulisem Valik	Options avancées	Options avancées	고급 설정	高级选项	高級選項	Napredne opcije	Расширенные опции	Gelişmiş Ayarlar	edistyneet asetukset	Подробна Опция	Додаткові налашт.	Erweiterte Optionen	Opcions Avançades	Opzioni Avanzate	高度なオプション	Išplėstinės parinktys	خيارات متقدمة	кеңейтілген опциялар	Avanserte alternativer	Advance na opsyon	उन्नत वि कल्प	ตัวเลือกขั้นสูง	Opsi Lanjutan	დამატებითი პარამეტრები	Vairāk Opcijas	Tùy Chọn Nâng Cao	Προχωρημένες Επιλογές	Дадатковыя параметры	Pokročilé možnosti	Avancerat val	تنظیمات پیشرفته
Advanced Settings	Advanced Settings	Haladó beállítások	Geavanceerde Instelling	Ajustes avanzados	Setare Avansată	Opcje zaawansowane	Pokročilá nastavení		Configuração Avançada	Definições Avançadas	Keerulisemad Sätted	Réglages avancés	Réglages avancés	고급 설정	高级设置	高級設置	Napredna podešavanja	Расширенные настройки	Gelişmiş Ayarlar	Lisäasetukset	Подробни Настройки	Додаткові налашт.	Erweiterte Einstellungen	Configuració Avançada	Impostazioni Avanzate	高度な設定	Išplėstiniai nustatymai	إعدادات متقدمة	қосымша параметрлер	Avanserte innstillinger	Mga advanced na setting	एडवांस सेटि गं	ตั้งค่าขั้นสูง	Pengaturan Lanjutan	დამატებითი პარამეტრები	Vairāk Iestatījumi	Cài Đặt Nâng Cao	Προχωρημένες Ρυθμίσεις	Пашыраныя налады	Pokročile natavenia	Avancerade inställningar	تنظیمات پیشرفته
Hardcore	Hardcore	Hardcore	Hardcore	Super difícil	Hardcore	Hardcore	Hardcore		Hardcore	Hardcore	Väga Raske	Hardcore	Hardcore	하드코어	硬核	硬核	Teško	Хардкор	Zor	Kova	Труден	Хардкор	Hardcore	Hardcore	Hardcore	ハードコア	Negailestingas	المتشددين	хардкор	Hardcore	Hardco	कट्टर	ฮาร์ดคอร์	Mustahil	ჰარდქორი	Hardcore	Siêu Khó	Hardcore	Хардкор	Hardcore	Hardcore	حالت سخت
(Empty)	(Empty)	(Üres)	(Leeg)	(Vacio)	(Gol)	(Pusty)	(prázdné)		(Vazio)	(Vazio)	(Tühi)	(Vide)	(Vide)	(비었음)	（空）	（空）	(Prazno)	(Пусто)	(Boş)	Tyhjä	(Празно)	(Пусто)	(Leer)	(Buit)	(Vuoto)	（空）	(Tuščias)	(فارغة)	(iшi бос)	(Tom)	(Walang laman)	(खाली)	(ว่างเปล่า)	(kosong)	(ცარიელი)	(Tukšs)	(Trống)	(Άδειο)	(Пусты)	(Prázdne)	(Tom)	(خالی)
Achievement	Achievement	Mérföldkő	Prestatie	Logro	Realizare	Osiągnięcie	Úspěch		Conquistas	Conquistas	Edusamm	Succès	Succès	도전과제	成就	成就	Dostignuće	Достижение	Başarı	Saavutukset	Постижение	Досягнення	Erfolg	Assoliment	Obiettivi	成果	Pasiekimai	إنجاز	Жетістік	Oppnåelse	Achievement	उपलब्धि	ความสำเร็จ	Pencapaian	მიღწევები	Sasniegums	Thành Tựu	Επίτευμα	Дасягненне	Odznak	Framsteg	دستاورد ها
Leaderboard	Leaderboard	Ranglista	Leaderboord	Tabla de lideres	Tabel de Scor	Tabela liderów	Žebříček		Ranking	Ranking	Edutabel	Tableau des scores	Classement	리더보드	排行榜	排行榜	Tabela	Доска Лидеров	Lider Tahtası	Tulostaulu	Таблица	Список лідерів	Rangliste	Tauler de classificació	Classifica	リーダーボード	Lyderių lenta	المتصدرين	көшбасшылар тақтасы	Ledertavle	Leaderboard	लीडरबोर्ड	กระดานผู้นำ	papan peringkat	ლიდერბორდი	TOP spēlētāji	Bảng Xếp Hạng	Κατάταξη	Табліца лідэраў	Rebríček	Topplista	جدول امتیازات
Exit without Save	Exit without Save	Kilépés mentés nélkül	Sluiten zonder Opslaan	Salir sin guardar	Ieşi fara sa Salvezi	Wyjdź bez zapisywania	Odejít bez uložení		Sair sem Salvar	Sair sem Guardar	Lahku salvestamatta	Quitter sans sauvegarder	Quitter sans enregistrer	저장하지 않고 나가기	未保存退出	未保存退出	Izađi bez čuvanja	Выйти без сохранения	Kaydetmeden Çık	poistu tallentamatta	Излез Без Да Запазваш	Вийти без збереження	Verlassen ohne zu Speichern	Sortir sense desar	Esci senza Salvare	保存せずに終了	Išeiti be išsaugojimo	الخروج دون حفظ	Сақтаусыз шығу	Avslutt uten lagring	Lumabas nang walang pag-save	बि ना सहेजेबाहर नि कलें	ออกโดยไม่เซฟ	Keluar tanpa menyimpan	გასვლა შენახვის გარეშე	Iziet bez saglabāšanas	Thoát Mà Không Lưu	Έξοδος χωρίς Αποθήκευση	Выйсці без захавання	Odísť bez uloženia	Lämna utan att spara	خروج بدون ذخیره‌سازی
Purchase	Purchase	Vásárlás	Koop	Comprar	Cumpără	Zakup	Zakoupit		Comprar	Comprar	Osta	Acheter	Acheter	구매	购买	購買	Kupi	Купить	Satın Al	Osto	Купи	Купити	Kaufen	Comprar	Acquista	購入	Pirkimas	شراء	Сатып алу	Kjøp	Bumili	खरीदना	ซื้อ	beli	გადახდა	Nopirkt	Mua	Αγορά	Купля	Kúpiť	Köp	خرید
Gift	Gift	Ajándék	Geschenk	Regalo	Cadou	Podarunek	Darovat		Presente	Presente	Kink	Cadeau	Cadeau	선물 (give gift is 선물하다)	礼物	禮物	Poklon	Подарок	Hediye	Lahja	Подарък	Подарунок	Geschenk	Regal	Regalo	贈り物	Dovana	هداية	сыйлық	Gave	Regalo	उपहार	ของขวัญ	hadiah	საჩუქარი	Dāvana	Món Tặng	Δώρο	Падарунак	Darček	Present	هدیه
Hammer	Hammer	Kalapács	Hamer	Martillo	Ciocan	Młotek	Kladivo		Martelo	Martelo	Haamer	Marteau	Marteau	오함마	锤子	錘子	Čekić	Молоток	Çekiç	Vasara	Чук	Молоток	Hammer	Martell	Martello	ハンマー	Plaktukas	شاكوش	Балға	Hammer	martilyo	हथौड़ा	ค้อน	Palu	ჩაქუჩი	Āmurs	Búa	Σφυρί	Малаток	Kladivo	Hammare	چکش
Auto Rotation On	Auto Rotation On	Automaikus Forgatás Be	Auto Rotatie Aan	Auto rotación encendida	Rotire Auto On	Włącz autoobrót	Auto-rotace zapnutá		Rotação Automática Ligada	Rotação Automática Ligada	Automaatne keerlemine Peal	Rotation Auto Activé	Rotation automatique activée	자동회전 켬	自动旋转已开启	自動旋轉已開啓	Uključena auto rotacija	Автоповорот включен	Otomatik Döndürme Açık	automaattinen kierto päällä	Автоматично Завъртане Включено	Авто поворот Вкл.	Auto Rotation An	Rotació automàtica On	Rotazione automatica On	自動回転オン	Įjungtas automatinis sukimas	تشغيل الدوران التلقائي	Автоматты айналдыру қосулы	Automatisk rotasjon på	Naka-on ang awtomatikong pag-ikot	ऑटो रोटेशन चालू	เปิดการหมุนอัตโนมัติ	Rotasi Otomatis aktif	ავტომატური მობრუნება გააქტიურებულია	Auto Rotācija Ieslēgta	Tự Động Xoay Bật	Αυτόματη Περιστροφή Ανοιχτή	Аўтаматычны паварот уключаны	Automatická rotácia zapnutá	Automatisk Rotering På	چرخش خودکار روشن
Auto Rotation Off	Auto Rotation Off	Automaikus Forgatás Ki	Auto Rotatie Uit	Auto rotación apagada	Rotire auto off	Wyłącz autoobrót	Auto-rotace vypnutá		Rotação Automática Desligada	Rotação Automática Desligada	Automaatne keerlemine Maas	Rotation Auto Désact.	Rotation automatique désactivée	자동회전 끔	自动旋转已关闭	自動旋轉已關閉	Isključena auto rotacija	Автоповорот выключен	Otomatik Döndürme Kapalı	automaattinen kierto pois päällä	Автоматично Завъртане Изключено	Авто поворот Викл.	Auto Rotation Aus	Rotació automàtica Off	Rotazione Automatica Off	自動回転オフ	Automatinis sukimosi išjungimas	إيقاف الدوران التلقائي	Автоматты айналдыру өшірулі	Automatisk rotasjon av	Naka-off ang awtomatikong pag-ikot	ऑटो रोटेशन बदं	ปิดการหมุนอัตโนมัติ	Rotasi Otomatis mati	ავტომატური მობრუნება გათიშულია	Auto Rotācija Izslēgta	Tự Động Xoay Tắt	Αυτόματη Περιστροφή Κλειστή	Аўтаматычны паварот выключаны	Automatická rotácia vypnutá	Automatisk Rotering Av	چرخش خودکار خاموش
Volume	Volume	Hangerő	Volume	Volumen	Volum	Głośność	Hlasitost		Volume	Volume	Helitugevus	Volume	Volume	음량	音量	音量	Ton	Звук	Ses	Äänen voimakkuus	Звук	Гучність	Lautstärke	Volum	Volume	音量	Garsas	الصوت	Көлемі	Volum	tunog	मात्रा	เสียง	Volume	ხმა	Skaļums	Âm Lượng	Ένταση	Аб'ём	Hlasitosť	Volym	درجه صدا
Sensitivity	Sensitivity	Érzékenység	Gevoeligheid	Sensitibidad	Sensivitate	Czułość	Citlivost		Sensibilidade	Sensibilidade	Õrnsus	Sensibilité	Sensibilité	감도	灵敏度	靈敏度	Osetljivost	Чувствительность	Hassasiyet	Herkkyys	Чувствителност	Чутливість	Sensivität	Sensibilitat	Sensibilità	感度	jautrumas	حساس	Сезімталдық	Sensitivitet	Pagkamapagdamdam	सवं ेदनशीलता	ความไว	Sensitivitas	სენსიტიურობა	Jutīgums	Độ Nhạy	Ευαισθησία	Адчувальнасць	Citlivosť	Sesitivitet	حساسیت
